STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,
CPU type:,Intel Icelake SP processor,
CPU clock:,2.394303266 GHz,
TABLE,Region kernel,Group 1 Raw,Custom,11
Region Info,HWThread 0,
RDTSC Runtime [s],2.248906,
call count,5,
Event,Counter,HWThread 0
Runtime (RDTSC) [s],TSC,2.248906e+00
MEM_LOAD_RETIRED_L1_ALL,PMC1,210867400
MEM_LOAD_RETIRED_L1_HIT,PMC2,127833300
MEM_LOAD_RETIRED_L2_ALL,PMC3,83036180
MEM_LOAD_RETIRED_L2_HIT,PMC4,0
MEM_LOAD_RETIRED_L3_ALL,PMC5,0
MEM_LOAD_RETIRED_L3_HIT,PMC6,0
INSTR_RETIRED_ANY,FIXC0,1298485000
CPU_CLK_UNHALTED_CORE,FIXC1,5372168000
CPU_CLK_UNHALTED_REF,FIXC2,5372166000
TOPDOWN_SLOTS,FIXC3,26860840000
