STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,
CPU type:,Intel Icelake SP processor,
CPU clock:,2.394212158 GHz,
TABLE,Region kernel,Group 1 Raw,Custom,11
Region Info,HWThread 0,
RDTSC Runtime [s],3.370523,
call count,7,
Event,Counter,HWThread 0
Runtime (RDTSC) [s],TSC,3.370523e+00
MEM_LOAD_RETIRED_L1_ALL,PMC1,929241300
MEM_LOAD_RETIRED_L1_HIT,PMC2,817061500
MEM_LOAD_RETIRED_L2_ALL,PMC3,112183200
MEM_LOAD_RETIRED_L2_HIT,PMC4,0
MEM_LOAD_RETIRED_L3_ALL,PMC5,0
MEM_LOAD_RETIRED_L3_HIT,PMC6,0
INSTR_RETIRED_ANY,FIXC0,2657708000
CPU_CLK_UNHALTED_CORE,FIXC1,8034520000
CPU_CLK_UNHALTED_REF,FIXC2,8034550000
TOPDOWN_SLOTS,FIXC3,40172600000
